prompt_id,challenge_type,recommended_tool,task_type,outcome_type,likely_fallback_by_content_match,api_call_succeeded,returned_models,reasoning
chal_out_of_scope_mixed_01,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"The user is asking for a weather forecast rather than a statistical analysis, so no supported statistical tool is appropriate; default to unknown with the fallback tool."
chal_out_of_scope_mixed_02,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"The request is creative and does not specify an analytical objective, estimand, outcome, or model; default to unknown with the fallback tool."
chal_out_of_scope_mixed_03,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"The user requests language translation rather than statistical analysis, so no analysis tool is applicable; defaulting to the fallback tool."
chal_out_of_scope_mixed_04,out_of_scope_mixed,linear_regression,regression,unknown,False,True,['gpt-5.4-2026-03-05'],"The actionable statistical request is to fit a regression of outcome on treatment; the email request is non-statistical and out of scope. With unspecified outcome scale, a basic regression routing choice is linear_regression."
chal_out_of_scope_mixed_05,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"The request is unrelated to statistical analysis or causal inference, so no analysis tool is appropriate; default to the fallback tool."
chal_out_of_scope_mixed_06,out_of_scope_mixed,summary_stats,descriptive,unknown,False,True,['gpt-5.4-2026-03-05'],"The user requests a dataset summary, which is a descriptive task best routed to summary statistics."
chal_out_of_scope_mixed_07,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"The user asks to review a Python function for bugs, which is outside the supported statistical analysis routing tasks. Defaulting to unknown with the fallback tool."
chal_out_of_scope_mixed_08,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"This is a factual lookup question rather than a statistical analysis request, so no specialized analysis tool is appropriate."
chal_out_of_scope_mixed_09,out_of_scope_mixed,causal_ate,causal_effect,unknown,False,True,['gpt-5.4-2026-03-05'],"The statistical request is a causal treatment effect question asking for the ATE of a drug on an outcome, so causal_ate is the best match; the reminder request is non-analytic and not relevant for tool routing."
chal_out_of_scope_mixed_10,out_of_scope_mixed,summary_stats,unknown,unknown,False,True,['gpt-5.4-2026-03-05'],"The request is not a statistical analysis task and does not specify data, outcomes, or a causal/regression/survival objective; default to unknown with a generic summary-oriented route."
chal_underspecified_01,underspecified,causal_ate,causal_effect,unknown,False,True,['gpt-5.4-2026-03-05'],"The request asks for the effect of a treatment on outcomes, which is a causal effect question best routed to an ATE estimation tool."
chal_underspecified_02,underspecified,causal_ate,causal_effect,unknown,False,True,['gpt-5.4-2026-03-05'],"The request is to determine whether treatment worked using treatment and outcome columns, which maps most directly to estimating a causal treatment effect."
chal_underspecified_03,underspecified,causal_ate,causal_effect,unknown,False,True,['gpt-5.4-2026-03-05'],"The user asks for the impact of a drug, which implies estimating a treatment effect comparing treated versus control; outcome type is not specified, so causal ATE is the best general routing choice."
chal_underspecified_04,underspecified,survival_adjusted_curves,survival,time_to_event,False,True,['gpt-5.4-2026-03-05'],"The request asks to compare two treatment groups over the study period, which implies follow-up over time and is best handled as a survival comparison."
